id,standard,subject,branch,source_class,unit,chapter,topic,subtopic,question_type,question,option_A,option_B,option_C,option_D,correct_option,correct_answer,explanation,difficulty,cognitive_level,marks_correct,marks_incorrect,marks_unattempted,source_document,source_chapter,source_page,syllabus_reference,figure_files,figure_required,tags,generator_eligible,validation_status
NEET27-PHY-0001,NEET-UG,Physics,Mechanics,XI,Unit 1: Physics and Measurement,Units and Measurements,Dimensional analysis,homogeneity,Conceptual/application MCQ,A proposed relation is v = u + at². Why is it dimensionally invalid?,u has no dimensions,"at² has dimensions of length, not velocity",Acceleration cannot be multiplied by time,Velocity and acceleration have identical dimensions,B,"at² has dimensions of length, not velocity","In a sum, every term must have the same dimensions. Here at² has dimensions [L], whereas u and v have dimensions [L T⁻¹].",Medium,Application,4,-1,0,"Official NMC/NTA NEET-UG 2026 Physics syllabus; NCERT Physics, Class XI",Units and Measurements,Official syllabus PDF p. 3,"NMC/NTA NEET-UG 2026 Physics syllabus, Unit 1: Physics and Measurement",,False,Mechanics|Dimensional analysis|homogeneity,True,PASS
NEET27-PHY-0002,NEET-UG,Physics,Mechanics,XI,Unit 1: Physics and Measurement,Units and Measurements,Dimensional analysis,pendulum dependence,Conceptual/application MCQ,"If the time period T of a simple pendulum depends on length l and gravitational acceleration g, dimensional analysis gives T proportional to:",√(l/g),√(g/l),l/g,lg,A,√(l/g),"Let T ∝ lᵃgᵇ. Equating dimensions gives a = 1/2 and b = -1/2, hence T ∝ √(l/g).",Medium,Application,4,-1,0,"Official NMC/NTA NEET-UG 2026 Physics syllabus; NCERT Physics, Class XI",Units and Measurements,Official syllabus PDF p. 3,"NMC/NTA NEET-UG 2026 Physics syllabus, Unit 1: Physics and Measurement",,False,Mechanics|Dimensional analysis|pendulum dependence,True,PASS
NEET27-PHY-0003,NEET-UG,Physics,Mechanics,XI,Unit 1: Physics and Measurement,Units and Measurements,Dimensional analysis,gravitational constant,Conceptual/application MCQ,The dimensions of the universal gravitational constant G are:,[M L⁻² T⁻²],[M L³ T⁻²],[M⁻¹ L² T⁻¹],[M⁻¹ L³ T⁻²],D,[M⁻¹ L³ T⁻²],Using F = Gm₁m₂/r² gives [G] = [F r²/M²] = [M⁻¹ L³ T⁻²].,Medium,Application,4,-1,0,"Official NMC/NTA NEET-UG 2026 Physics syllabus; NCERT Physics, Class XI",Units and Measurements,Official syllabus PDF p. 3,"NMC/NTA NEET-UG 2026 Physics syllabus, Unit 1: Physics and Measurement",,False,Mechanics|Dimensional analysis|gravitational constant,True,PASS
NEET27-PHY-0004,NEET-UG,Physics,Mechanics,XI,Unit 1: Physics and Measurement,Units and Measurements,Dimensional analysis,wave relation,Conceptual/application MCQ,"For a stretched string, wave speed v depends on tension F and linear density μ. Which relation is dimensionally consistent?",v = √(Fμ),v = F/μ,v = √(F/μ),v = μ/F,C,v = √(F/μ),"F/μ has dimensions [M L T⁻²]/[M L⁻¹] = [L² T⁻²], whose square root is speed.",Medium,Application,4,-1,0,"Official NMC/NTA NEET-UG 2026 Physics syllabus; NCERT Physics, Class XI",Units and Measurements,Official syllabus PDF p. 3,"NMC/NTA NEET-UG 2026 Physics syllabus, Unit 1: Physics and Measurement",,False,Mechanics|Dimensional analysis|wave relation,True,PASS
NEET27-PHY-0005,NEET-UG,Physics,Mechanics,XI,Unit 1: Physics and Measurement,Units and Measurements,Dimensional analysis,checking a relation,Conceptual/application MCQ,Which relation is dimensionally consistent for the speed v of a wave on a stretched string with tension T and linear mass density μ?,v = √(Tμ),v = T/μ,v = Tμ,v = √(T/μ),D,v = √(T/μ),"[T/μ] = [MLT⁻²]/[ML⁻¹] = [L²T⁻²], whose square root has the dimensions of speed.",Medium,Application,4,-1,0,"Official NMC/NTA NEET-UG 2026 Physics syllabus; NCERT Physics, Class XI",Units and Measurements,Official syllabus PDF p. 3,"NMC/NTA NEET-UG 2026 Physics syllabus, Unit 1: Physics and Measurement",,False,Mechanics|Dimensional analysis|checking a relation,True,PASS
NEET27-PHY-0006,NEET-UG,Physics,Mechanics,XI,Unit 1: Physics and Measurement,Units and Measurements,Dimensional analysis,limitations,Conceptual/application MCQ,Which result cannot be obtained from dimensional analysis alone?,A possible power-law dependence,The dimensions of a physical constant,Whether both sides of an equation have matching dimensions,The numerical factor 2π in a pendulum formula,D,The numerical factor 2π in a pendulum formula,Dimensional analysis determines dimensional powers but cannot determine a dimensionless numerical constant such as 2π.,Easy,Application,4,-1,0,"Official NMC/NTA NEET-UG 2026 Physics syllabus; NCERT Physics, Class XI",Units and Measurements,Official syllabus PDF p. 3,"NMC/NTA NEET-UG 2026 Physics syllabus, Unit 1: Physics and Measurement",,False,Mechanics|Dimensional analysis|limitations,True,PASS
NEET27-PHY-0007,NEET-UG,Physics,Mechanics,XI,Unit 1: Physics and Measurement,Units and Measurements,Dimensions,equation check,Conceptual/application MCQ,Which equation is dimensionally homogeneous?,s = ut + ½at²,F = mv,v = u + 2as,P = Ft,A,s = ut + ½at²,Both ut and at² have dimensions of length. The other relations equate quantities with different dimensions.,Medium,Application,4,-1,0,"Official NMC/NTA NEET-UG 2026 Physics syllabus; NCERT Physics, Class XI",Units and Measurements,Official syllabus PDF p. 3,"NMC/NTA NEET-UG 2026 Physics syllabus, Unit 1: Physics and Measurement",,False,Mechanics|Dimensions|equation check,True,PASS
NEET27-PHY-0008,NEET-UG,Physics,Mechanics,XI,Unit 1: Physics and Measurement,Units and Measurements,Dimensions,dimensionless quantities,Direct MCQ,Which physical quantity is dimensionless?,surface tension,angular momentum,strain,pressure,C,strain,"Strain is the ratio of two lengths, so it has no dimensions.",Easy,Recall,4,-1,0,"Official NMC/NTA NEET-UG 2026 Physics syllabus; NCERT Physics, Class XI",Units and Measurements,Official syllabus PDF p. 3,"NMC/NTA NEET-UG 2026 Physics syllabus, Unit 1: Physics and Measurement",,False,Mechanics|Dimensions|dimensionless quantities,True,PASS
NEET27-PHY-0009,NEET-UG,Physics,Mechanics,XI,Unit 1: Physics and Measurement,Units and Measurements,Dimensions,energy,Conceptual/application MCQ,Which quantity has dimensions [M L² T⁻²]?,Momentum,Pressure,Power,Energy,D,Energy,Work or energy equals force times displacement and therefore has dimensions [M L² T⁻²].,Easy,Application,4,-1,0,"Official NMC/NTA NEET-UG 2026 Physics syllabus; NCERT Physics, Class XI",Units and Measurements,Official syllabus PDF p. 3,"NMC/NTA NEET-UG 2026 Physics syllabus, Unit 1: Physics and Measurement",,False,Mechanics|Dimensions|energy,True,PASS
NEET27-PHY-0010,NEET-UG,Physics,Mechanics,XI,Unit 1: Physics and Measurement,Units and Measurements,Dimensions,power,Conceptual/application MCQ,The dimensional formula of power is:,[M L⁻¹ T⁻³],[M L T⁻²],[M L² T⁻²],[M L² T⁻³],D,[M L² T⁻³],"Power is work per unit time, so [P] = [M L² T⁻²]/[T] = [M L² T⁻³].",Easy,Application,4,-1,0,"Official NMC/NTA NEET-UG 2026 Physics syllabus; NCERT Physics, Class XI",Units and Measurements,Official syllabus PDF p. 3,"NMC/NTA NEET-UG 2026 Physics syllabus, Unit 1: Physics and Measurement",,False,Mechanics|Dimensions|power,True,PASS
