id,source_class,discipline,unit,chapter,topic,subtopic,question_type,difficulty,correct_option,figure_required,figures,generator_eligible,validation_status
NEET27-BIO-0001,XII,Botany,Unit 10: Ecology and Environment,Biodiversity and Conservation,Biodiversity and Conservation,Habitat loss with Alien species,Applied statement comparison,Medium,A,False,,True,PASS
NEET27-BIO-0002,XII,Botany,Unit 10: Ecology and Environment,Biodiversity and Conservation,Biodiversity and Conservation,Co-extinction,Direct NCERT-based,Easy,D,False,,True,PASS
NEET27-BIO-0003,XI,Botany,Unit 1: Diversity in Living World,Biological Classification,Biological Classification,Heterocysts,Direct NCERT-based,Easy,A,False,,True,PASS
NEET27-BIO-0004,XII,Botany,Unit 8: Biology and Human Welfare,Microbes in Human Welfare,Microbes in Human Welfare,Industrial microbes,Reverse Association,Easy,B,False,,True,PASS
NEET27-BIO-0005,XI,Zoology,Unit 1: Diversity in Living World,Animal Kingdom,Animal Kingdom,Integrated chapter reasoning,Higher-order multi-statement,Difficult,C,False,,True,PASS
NEET27-BIO-0006,XI,Botany,Unit 4: Plant Physiology,Plant Growth and Development,Plant Growth and Development,Integrated chapter reasoning,Multi-statement,Difficult,B,False,,True,PASS
NEET27-BIO-0007,XII,Botany,Unit 10: Ecology and Environment,Organisms and Populations,Organisms and Populations,Integrated chapter reasoning,Multi-statement,Difficult,A,False,,True,PASS
NEET27-BIO-0008,XII,Botany,Unit 7: Genetics and Evolution,Principles of Inheritance and Variation,Principles of Inheritance and Variation,Sex-linked inheritance,Statement Completion,Easy,C,False,,True,PASS
NEET27-BIO-0009,XII,Zoology,Unit 8: Biology and Human Welfare,Human Health and Disease,Human Health and Disease,Prevention and public health,Reverse Association,Easy,B,False,,True,PASS
NEET27-BIO-0010,XI,Botany,Unit 2: Structural Organisation in Animals and Plants,Morphology of Flowering Plants,Morphology of Flowering Plants,Stem tendrils and thorns,Direct NCERT-based,Easy,C,False,,True,PASS
NEET27-BIO-0011,XI,Botany,Unit 4: Plant Physiology,Plant Growth and Development,Plant Growth and Development,Integrated chapter reasoning,Higher-order multi-statement,Difficult,D,False,,True,PASS
NEET27-BIO-0012,XI,Zoology,Unit 5: Human Physiology,Body Fluids and Circulation,Body Fluids and Circulation,Blood cells,Multi-statement analysis,Difficult,C,False,,True,PASS
